symbol	P5482_SR_01	P5482_SR_02	P5482_SR_05	P5482_SR_06	P5482_SR_08	P5482_SR_09	P5482_SR_10	P5482_SR_11	P5482_SR_12	P5482_SR_13	P5482_SR_14	P5482_SR_15
0610005C13Rik	13	13	25	30	36	29	38	6	18	26	32	23
0610006L08Rik	0	0	0	0	0	0	0	0	0	0	1	2
0610009B22Rik	1255	946	832	961	962	780	940	721	745	1176	1104	1126
0610009E02Rik	42	25	43	19	32	35	31	19	35	59	54	76
0610009L18Rik	256	109	184	41	141	129	118	100	90	232	168	174
0610010F05Rik	1992	2717	1789	2276	2800	1656	2716	1649	2949	3591	3731	3614
0610010K14Rik	16	43	76	68	105	19	104	55	82	98	124	103
0610012D04Rik	5	2	0	11	15	8	4	3	13	13	13	3
0610012G03Rik	6202	2703	3639	1852	3256	3090	2871	2437	3597	4059	4469	3405
0610025J13Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	1049	2094	2588	2032	2836	1219	2606	1404	2744	3713	3742	3487
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610033M10Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610038B21Rik	59	97	121	210	150	60	157	52	163	141	216	124
0610039K10Rik	4	60	83	29	104	51	96	22	79	70	109	55
0610040B10Rik	149	65	85	66	73	51	78	27	49	68	67	50
0610040F04Rik	4	0	0	0	0	3	1	4	1	5	1	2
0610040J01Rik	65	62	25	32	62	3	75	37	33	43	87	11
0610043K17Rik	31	7	11	0	23	6	14	2	20	5	23	6
0710001A04Rik	0	0	0	0	0	0	0	0	0	3	2	0
1010001B22Rik	23	3	6	0	15	10	9	14	11	6	22	9
1100001I12Rik	0	0	1	0	0	0	2	2	1	3	1	1
1110002E22Rik	3	1	4	0	2	8	3	0	5	3	0	2
1110002J07Rik	231	172	312	200	430	109	379	72	376	94	327	128
1110002L01Rik	88	125	255	134	345	101	270	56	308	215	451	190
1110002O04Rik	0	0	0	0	0	0	0	1	0	0	0	0
1110003F10Rik	27	13	32	41	104	42	34	19	56	45	31	42
1110004F10Rik	6306	7406	4975	8492	6484	6631	6052	5506	6725	9800	7874	9360
1110006O24Rik	73	48	34	19	72	15	54	57	45	107	71	78
1110008E08Rik	0	0	0	0	0	0	0	0	1	0	0	0
1110008P14Rik	2181	1148	945	1309	1030	1233	907	1133	1075	1898	1319	1674
1110012L19Rik	1052	1089	786	918	957	1190	956	959	881	1552	1090	1365
1110013H19Rik	27	17	9	23	29	11	20	25	20	48	47	38
1110015O18Rik	0	0	0	0	0	0	0	0	0	3	0	0
1110017D15Rik	4	4	17	0	21	2	27	6	15	38	17	38
1110018N20Rik	0	0	0	0	0	10	0	0	1	5	0	0
1110019B22Rik	2	0	0	0	0	6	0	0	0	0	0	0
1110019D14Rik	281	240	228	242	314	226	327	244	217	323	320	310
1110020A21Rik	26	41	35	0	45	18	47	19	24	38	41	50
1110025L11Rik	0	3	0	0	0	0	0	0	0	0	0	0
1110025M09Rik	249	90	253	40	184	33	181	91	122	149	202	167
1110028F11Rik	0	0	0	0	0	0	2	0	2	0	0	0
1110028F18Rik	0	0	0	0	0	0	5	0	3	2	0	0
1110032A03Rik	1012	1029	973	769	1230	757	1175	706	831	1088	1241	932
1110032F04Rik	1	2	0	0	0	0	0	0	0	0	0	0
1110035H17Rik	30	6	22	12	23	39	30	10	28	47	22	30
1110038B12Rik	1984	1305	1204	1156	1289	1192	1239	1021	1423	1893	1737	1908
1110038F14Rik	2551	1561	1487	1370	1702	1232	1390	1252	1516	1984	2097	1663
1110046J04Rik	335	267	205	313	264	239	233	253	182	304	225	279
1110051M20Rik	530	742	592	567	675	568	544	577	455	831	709	634
1110057P08Rik	0	0	0	0	0	0	0	0	0	1	0	0
1110059E24Rik	1384	1181	993	862	1321	847	1170	894	1024	1400	1379	1423
1110059G10Rik	1620	1571	1588	1133	1609	1066	1664	1076	1209	1846	1853	1714
1110060G06Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110065P20Rik	449	238	121	337	165	302	166	281	213	461	226	405
1190001M18Rik	18	19	21	0	36	16	18	6	43	8	21	1
1190005I06Rik	12	13	10	0	8	1	6	3	3	12	11	4
1190007I07Rik	357	192	313	221	314	210	289	169	266	249	414	238
1190028D05Rik	2	0	0	0	0	0	0	0	0	0	0	0
1200007C13Rik	0	1	0	24	0	8	0	0	0	2	1	3
1300002E11Rik	254	98	221	150	184	51	155	65	191	146	217	144
1300014J16Rik	4	18	23	54	18	8	18	30	40	49	23	29
1300017J02Rik	3	5	5	0	2	11	11	10	0	4	10	4
1500002C15Rik	101	128	174	22	262	124	178	93	182	187	277	153
1500002F19Rik	13	11	9	0	24	23	4	11	5	20	22	11
1500004A13Rik	190	326	315	466	477	167	421	198	441	466	486	477
1500005C15Rik	43	5	7	14	40	23	26	13	18	21	22	27
1500009C09Rik	0	0	0	0	0	0	0	0	1	1	0	0
1500009L16Rik	0	0	0	0	0	0	0	0	1	2	1	0
1500011B03Rik	2996	1558	1605	1177	1521	1505	1269	1254	1708	2219	1959	1968
1500012K07Rik	0	0	0	0	0	12	0	0	0	0	0	4
1500015A07Rik	224	141	207	223	290	139	207	117	170	298	302	222
1500015L24Rik	0	0	1	0	0	0	0	1	2	0	0	0
1500026H17Rik	29	15	25	14	15	10	15	13	7	16	22	10
1500032F14Rik	1	8	4	0	6	0	10	1	5	2	1	2
1500035N22Rik	4	1	3	0	6	0	5	5	0	4	2	4
1520401A03Rik	5	30	9	0	49	0	23	12	13	38	36	30
1600002D24Rik	23	1	3	0	2	0	2	12	2	2	9	10
1600010M07Rik	229	244	170	270	226	204	214	262	128	280	194	249
1600012H06Rik	1676	2953	2601	2508	3090	2296	2843	2305	2959	5449	4166	5201
1600012P17Rik	0	0	0	0	0	0	0	0	1	0	0	3
1600014C10Rik	1254	1624	1316	868	964	1240	916	1278	1385	1314	1349	1100
1600014C23Rik	14	0	1	0	3	0	0	0	5	1	3	4
1600017P15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	608	312	511	543	717	229	574	430	555	1271	930	1356
1600022D10Rik	10	4	4	0	2	13	2	0	11	8	2	4
1600023N17Rik	3	12	1	6	25	5	22	6	18	13	10	9
1600025M17Rik	0	0	0	0	0	0	0	0	1	1	0	0
1600027J07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600029O15Rik	0	0	6	0	1	0	0	0	0	0	0	0
1700001C19Rik	17	24	15	1	14	12	8	22	4	10	19	20
1700001D01Rik	4	0	0	0	0	0	0	0	0	3	0	4
1700001F09Rik	0	0	0	0	0	0	3	0	1	0	0	0
1700001G01Rik	0	0	0	0	0	0	1	2	0	1	0	0
1700001G11Rik	56	6	17	1	22	10	16	1	14	2	5	4
1700001G17Rik	16	9	5	0	12	4	1	8	1	5	14	3
1700001J03Rik	2	16	11	18	10	0	7	2	10	3	25	1
1700001J04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001J11Rik	1	0	0	0	0	0	0	1	2	1	0	0
1700001K19Rik	25	37	17	0	67	43	79	43	43	49	63	35
1700001K23Rik	17	16	1	0	4	16	18	4	6	61	8	52
1700001L05Rik	43	109	64	73	124	51	118	55	110	266	193	195
1700001L19Rik	4	0	4	0	0	2	0	0	0	2	0	0
1700001N15Rik	0	2	0	0	0	0	0	0	0	0	0	0
1700001O22Rik	5	1	3	0	16	0	1	11	11	11	10	4
1700001P01Rik	0	6	4	0	6	6	7	3	9	8	3	2
1700003C15Rik	0	0	0	0	0	0	0	0	1	0	0	0
1700003D09Rik	0	0	12	0	0	0	2	0	0	1	2	0
1700003E16Rik	30	35	17	9	29	43	20	21	9	24	25	16
1700003E24Rik	0	0	0	0	0	0	2	0	0	0	0	2
1700003F12Rik	631	110	370	92	170	129	197	134	193	177	270	161
1700003G18Rik	0	2	0	0	2	0	0	0	1	1	1	0
1700003H04Rik	0	0	0	0	0	0	7	0	0	0	0	0
1700003I16Rik	1	4	0	20	11	3	7	0	6	0	2	0
1700003I22Rik	0	0	0	0	0	0	0	0	2	0	0	0
1700003L19Rik	0	1	0	0	0	0	0	0	0	1	0	0
1700003M07Rik	0	0	2	0	0	0	0	0	0	0	2	2
1700003N22Rik	10	23	22	39	14	45	28	46	17	80	33	70
1700003O11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003P14Rik	0	0	0	0	0	0	0	0	0	1	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	1	1	0	0
1700006F04Rik	3	0	0	0	0	0	0	0	0	0	0	0
1700006H21Rik	1	0	10	0	1	0	1	0	3	0	0	0
1700006J14Rik	55	23	59	101	110	65	81	17	19	82	92	68
1700006P03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700007E05Rik	0	0	0	0	2	0	2	0	0	1	0	1
1700007F19Rik	0	0	0	0	0	6	4	0	2	0	0	0
1700007H22Rik	0	0	0	0	0	0	0	0	0	0	0	2
1700007J10Rik	17	15	10	20	29	0	24	22	25	31	43	67
1700007K13Rik	34	53	17	23	35	32	13	34	12	19	28	14
1700007L15Rik	85	75	49	65	65	51	71	31	53	51	70	56
1700007M16Rik	0	0	0	0	0	0	0	0	0	0	0	1
1700007P06Rik	0	0	0	0	0	0	2	0	0	3	0	0
1700008A23Rik	0	0	0	0	0	0	0	0	0	1	0	0
1700008B11Rik	15	63	66	19	70	32	68	42	42	99	71	82
1700008C04Rik	0	0	0	0	0	0	0	0	0	0	0	1
1700008H02Rik	0	0	0	0	0	14	0	0	0	0	0	0
1700008J07Rik	116	66	141	47	94	53	81	39	120	147	149	109
1700008K24Rik	1	0	0	0	0	0	0	0	0	0	0	0
1700008N11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	19	10	15	24	11	3	11	3	0	20	11	6
1700008P02Rik	0	0	0	0	0	0	0	0	1	0	0	0
1700009C05Rik	0	0	0	0	0	0	0	1	0	1	0	0
1700009J07Rik	0	0	0	0	0	0	0	0	0	2	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	2	0	0	0	0	0	1	0	0	3
1700010B13Rik	3	0	4	0	2	6	0	0	0	1	0	0
1700010D01Rik	0	0	1	0	0	0	0	0	5	0	0	0
1700010G06Rik	3	1	2	0	1	0	1	0	4	4	4	0
1700010H22Rik	0	2	0	0	0	0	0	0	0	2	1	3
1700010I02Rik	0	0	0	0	0	0	0	5	0	0	0	0
1700010I14Rik	216	300	209	262	345	143	307	240	297	285	387	296
1700010J16Rik	0	0	0	0	0	7	0	0	0	2	1	0
1700010K23Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700010K24Rik	1	6	3	0	2	0	2	0	5	4	5	0
1700010L04Rik	4	2	11	0	5	0	5	1	4	1	6	2
1700010N08Rik	0	0	0	0	0	0	1	0	5	1	0	2
1700011B04Rik	2	0	0	0	0	0	0	0	1	1	3	3
1700011C11Rik	0	0	0	0	0	0	0	0	0	0	0	1
1700011D18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700011L03Rik	5	0	1	15	14	0	8	0	6	2	5	2
1700011L22Rik	5	4	23	0	9	0	3	1	7	1	8	5
1700011M02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	1	0	0
1700012B07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012B09Rik	4	0	0	0	4	0	2	0	4	6	0	17
1700012C08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012C14Rik	0	0	0	0	0	0	0	0	1	0	0	0
1700012D14Rik	71	62	101	41	148	34	106	52	95	85	127	52
1700012D16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012E03Rik	0	0	0	0	0	0	0	0	1	0	3	1
1700012I11Rik	1	0	0	0	1	10	0	0	0	0	0	0
1700012J15Rik	0	0	0	0	0	0	0	0	0	0	0	1
1700012J22Rik	0	0	0	0	0	0	0	0	2	1	0	0
1700012P22Rik	0	0	0	0	0	0	0	0	0	1	0	0
1700013A02Rik	0	0	0	0	0	0	1	0	0	0	0	1
1700013D24Rik	5	2	14	0	0	0	5	2	0	0	0	0
1700013F07Rik	0	0	0	0	1	0	1	0	13	2	1	3
1700013G24Rik	0	0	0	0	0	0	0	0	1	0	0	2
1700013H16Rik	1	0	0	0	0	0	3	0	0	0	0	0
1700013M08Rik	2	4	0	0	0	3	1	4	0	5	0	0
1700013N06Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700014D04Rik	2	0	5	0	0	0	1	0	7	1	1	0
1700014F14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700014L14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700015C15Rik	5	0	0	0	1	0	1	0	0	3	1	2
1700015C17Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700015F17Rik	0	0	0	0	0	0	0	2	0	0	0	4
1700015G11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700015H07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700015I17Rik	0	0	0	0	0	0	0	0	3	0	0	0
1700015O11Rik	0	0	1	28	0	0	0	0	6	4	0	1
1700016A09Rik	8	20	9	2	10	20	7	4	10	42	20	15
1700016B01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700016B15Rik	0	2	5	0	8	0	2	7	5	1	6	4
1700016C15Rik	5	2	4	0	0	1	0	0	2	2	0	5
1700016D06Rik	0	0	0	0	1	0	1	0	0	3	3	3
1700016D08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700016F12Rik	0	0	0	0	0	0	0	0	0	0	1	0
1700016G22Rik	5	7	5	36	0	0	8	5	32	3	6	6
1700016H03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700016H13Rik	13	7	13	0	1	0	3	0	5	0	3	0
1700016J18Rik	14	3	5	0	2	0	7	5	0	1	2	0
1700016K05Rik	1	0	0	0	0	0	0	0	0	0	0	2
1700016K19Rik	1	0	0	0	0	0	0	0	0	0	0	1
1700016L21Rik	0	0	0	0	0	0	0	0	0	0	0	3
1700016P03Rik	0	7	0	0	0	0	0	0	2	4	1	6
1700016P04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700017B05Rik	1570	3106	1040	3516	1717	1886	1323	3122	1896	6925	2960	4688
1700017G19Rik	9	14	6	20	7	10	3	5	8	28	22	18
1700017I07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0	0	2	1	0	2	1
1700017L05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700017M07Rik	0	0	1	0	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	6	0	0	0	4	0	2
1700018A04Rik	2	0	0	0	0	0	0	0	6	1	0	0
1700018A14Rik	4	2	6	0	8	0	6	0	2	3	6	4
1700018A23Rik	6	10	11	0	10	0	15	15	12	25	19	17
1700018B08Rik	0	2	0	0	0	0	0	0	0	2	0	1
1700018B24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	1	0	0	0	3	0
1700018G05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700018L02Rik	52	44	61	13	44	34	30	15	31	27	64	26
1700018M17Rik	12	3	10	17	5	0	3	3	3	15	2	8
1700018P08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	3	1	1	0	2	0	1	0	12	5	0	5
1700019A23Rik	0	0	0	0	0	0	3	0	5	1	1	0
1700019C18Rik	5	3	6	0	7	4	5	0	0	0	1	1
1700019D03Rik	11	9	7	0	7	12	14	7	11	9	24	5
1700019E08Rik	0	0	1	0	0	0	0	0	0	0	0	0
1700019F05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700019G24Rik	0	0	0	0	0	0	0	0	6	0	0	0
1700019J19Rik	3	0	0	0	0	7	2	1	2	1	3	0
1700019L13Rik	0	1	0	0	1	2	0	0	0	5	1	4
1700019M22Rik	3	0	0	0	0	0	0	0	1	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0	0	1	0	0
1700019P21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	0	1	7	0	4	0	0	0	14	17	12	8
1700020D05Rik	30	58	145	118	168	21	130	70	138	163	207	159
1700020D12Rik	0	0	0	0	0	0	0	0	1	0	0	0
1700020G03Rik	0	0	0	0	2	0	3	0	0	2	0	0
1700020G17Rik	0	0	0	0	6	0	0	0	1	4	2	0
1700020L24Rik	43	15	23	47	34	9	28	21	42	21	66	16
1700020M21Rik	0	1	0	0	0	0	0	0	0	5	0	0
1700020N01Rik	3	0	0	0	0	0	0	0	0	1	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700020N18Rik	0	0	0	0	2	0	2	0	0	2	0	0
1700021A07Rik	0	0	0	0	0	0	0	0	0	1	0	0
1700021F02Rik	0	0	0	0	0	0	0	0	2	0	0	0
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700021F13Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700021G15Rik	0	0	0	0	0	0	0	0	4	0	0	0
1700021J08Rik	0	6	19	33	26	0	23	5	23	23	31	31
1700021L23Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700021N21Rik	5	0	9	17	1	0	3	0	0	0	6	1
1700021P04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	6	1	0	0	0	0	1
1700022E09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700022H01Rik	0	0	2	0	0	0	0	0	0	0	0	1
1700022H16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	9	1	1	30	10	0	4	9	12	24	9	12
1700022N22Rik	68	32	37	37	59	39	27	44	42	40	37	42
1700023B13Rik	29	118	115	193	144	77	145	97	186	499	204	337
1700023C21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700023F02Rik	0	0	2	0	0	0	3	0	2	0	0	2
1700023G09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700023H06Rik	30	11	23	34	18	10	20	17	4	144	20	68
1700024B05Rik	0	0	0	0	0	0	0	2	0	0	1	0
1700024B18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700024I08Rik	0	1	0	0	0	0	0	0	0	1	0	2
1700024J04Rik	0	0	0	0	0	0	0	0	0	0	2	0
1700025A08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025B11Rik	0	0	0	0	0	9	0	0	0	0	0	0
1700025C18Rik	0	0	1	0	0	0	0	0	0	0	0	1
1700025D23Rik	0	0	0	0	0	2	2	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	1750	2636	1296	1579	2142	2195	1944	2093	1895	4666	3009	3352
1700025H01Rik	0	0	0	0	0	0	0	0	0	0	0	1
1700025J12Rik	0	0	0	0	1	0	0	0	0	0	2	0
1700025K04Rik	0	0	0	0	0	6	0	0	2	0	0	0
1700025K24Rik	0	0	0	0	0	0	0	0	1	0	0	0
1700025L06Rik	0	0	0	0	2	0	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025N21Rik	24	0	8	9	24	4	11	11	3	7	3	3
1700025N23Rik	71	27	55	3	95	22	110	21	105	49	95	52
1700025O08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700026D11Rik	1	1	0	0	0	0	0	5	0	5	1	0
1700026F02Rik	0	0	2	0	1	1	0	0	3	2	1	1
1700026J12Rik	0	0	0	0	0	0	0	0	0	2	0	0
1700026J14Rik	0	0	0	0	0	0	0	0	0	0	0	2
1700026N04Rik	6	5	4	0	12	9	11	4	6	10	6	11
1700027A07Rik	0	2	4	25	15	14	11	24	17	18	11	24
1700027A15Rik	0	0	0	0	0	0	0	0	4	0	0	1
1700027F06Rik	0	0	0	0	3	0	0	0	0	0	0	0
1700027F09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700027H10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	0	0	0	0	0	1
1700027J07Rik	0	0	0	0	0	0	2	0	0	0	3	0
1700028B04Rik	0	0	0	0	0	0	0	0	0	0	0	3
1700028D13Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700028E10Rik	42	26	50	31	72	23	47	37	29	36	39	36
1700028I16Rik	9	7	3	5	8	0	10	0	0	3	10	7
1700028J19Rik	66	54	60	25	53	86	71	40	49	85	61	69
1700028K03Rik	4	0	3	0	10	17	9	0	9	6	5	1
1700028M03Rik	0	0	0	0	0	0	0	0	0	0	1	0
1700028N14Rik	18	2	10	0	16	24	9	0	9	13	10	14
1700028P14Rik	0	0	0	0	0	0	0	0	0	0	2	0
1700028P15Rik	0	0	0	0	0	0	0	0	0	1	2	1
1700029B22Rik	0	0	0	0	0	0	1	0	0	0	0	0
1700029B24Rik	0	0	1	0	0	0	0	0	0	2	0	0
1700029E06Rik	0	0	0	0	1	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700029H14Rik	21	4	1	0	18	16	8	10	16	26	15	17
1700029I15Rik	33	31	42	82	73	14	52	37	47	77	69	57
1700029J03Rik	2	0	7	0	2	0	0	0	0	0	2	1
1700029J07Rik	12	30	33	13	33	15	19	24	32	41	27	31
1700029M03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700029M20Rik	1	0	0	0	0	0	0	0	0	3	0	0
1700029N11Rik	5	17	33	83	56	13	59	14	60	78	31	82
1700029P11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700030A11Rik	0	0	1	0	0	0	4	0	0	0	0	0
1700030C10Rik	0	4	1	0	3	0	6	0	0	3	0	0
1700030C12Rik	0	1	0	0	3	0	1	0	5	0	1	0
1700030C14Rik	0	0	0	0	0	0	0	0	0	2	0	0
1700030E10Rik	0	0	0	0	0	0	0	0	0	2	0	3
1700030F04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700030I03Rik	0	0	0	0	0	0	0	0	0	0	0	3
1700030J22Rik	79	243	122	373	99	114	74	152	65	437	182	367
1700030K09Rik	385	530	570	408	687	343	579	467	563	639	777	600
1700030L20Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700030L22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700030M09Rik	0	5	0	0	0	0	3	0	10	1	0	3
1700030N03Rik	0	0	0	23	0	2	0	0	1	3	0	1
1700030N18Rik	0	0	0	0	0	0	0	0	0	3	0	0
1700030O20Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700031A10Rik	2	0	0	0	2	0	2	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0	4	0	0	0	0	0
1700031F10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700031M16Rik	1	0	0	0	0	0	0	0	1	0	0	0
1700031P21Rik	0	0	0	0	0	0	0	0	2	2	9	0
1700034B16Rik	0	0	0	0	0	0	0	0	0	0	0	3
1700034E13Rik	0	0	1	0	0	0	0	0	0	0	0	0
1700034G24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700034H15Rik	11	14	23	3	44	9	37	5	31	15	45	21
1700034I23Rik	6	8	7	0	6	4	8	5	8	7	14	5
1700034J04Rik	0	0	0	0	0	6	0	0	0	0	0	0
1700034J05Rik	0	1	1	0	0	0	0	0	2	7	0	3
1700034K08Rik	0	1	0	0	0	0	0	0	0	2	0	2
1700034P13Rik	25	10	32	21	25	11	30	8	25	24	23	25
1700036A12Rik	0	0	0	0	0	0	0	0	0	2	0	0
1700036G14Rik	0	0	0	0	0	0	0	0	0	0	0	1
1700036O09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700037C06Rik	0	0	0	0	0	10	0	0	0	0	0	0
1700037C18Rik	421	171	178	199	232	194	196	171	190	299	203	225
1700037F03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700037H04Rik	3301	2304	2001	1681	2343	1833	1877	1938	2022	2578	3007	1910
1700039E22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700039I01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700039M10Rik	1	0	0	0	0	0	0	1	0	0	6	0
1700039M15Rik	0	0	0	0	0	0	0	0	2	0	0	0
1700040D17Rik	8	5	12	0	8	6	19	2	8	5	10	7
1700040E09Rik	0	0	0	0	0	6	0	0	5	0	0	0
1700040F15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700040F17Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700040K01Rik	0	0	0	0	0	0	0	0	3	0	0	1
1700040L08Rik	7	0	1	0	0	0	1	0	7	4	0	0
1700041B01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700041C23Rik	0	0	0	0	0	0	0	0	0	4	0	0
1700041G16Rik	36	15	23	0	35	14	36	45	28	23	32	15
1700041I07Rik	0	0	0	0	1	0	0	0	1	0	0	0
1700041M05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700042D02Rik	2	0	0	0	1	3	0	0	0	5	0	0
1700042G07Rik	0	0	0	0	1	0	1	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700042O05Rik	0	0	0	0	0	0	0	0	0	2	0	0
1700042O10Rik	4	2	0	0	2	0	5	0	1	0	1	0
1700044C05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700045H11Rik	0	3	0	0	0	0	0	0	0	0	0	0
1700045I11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0	0	0	0	1	0	0
1700047A11Rik	2	3	1	0	1	0	0	3	6	4	4	2
1700047E10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700047F07Rik	0	0	0	0	0	0	0	1	0	0	0	0
1700047G03Rik	3	0	0	17	0	18	2	0	1	2	0	2
1700047G07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700047K16Rik	9	7	4	0	18	8	18	3	16	28	19	7
1700047L14Rik	0	0	0	0	0	0	2	0	0	0	0	2
1700047M11Rik	1	0	1	15	0	16	11	2	25	1	0	8
1700047N06Rik	0	0	0	0	0	0	0	0	0	2	0	0
1700047O18Rik	9	0	0	0	0	0	0	0	0	1	0	1
1700048F04Rik	0	0	0	0	0	0	3	0	0	0	0	1
1700048M11Rik	12	29	48	23	85	23	45	10	44	58	73	34
1700048O14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700048O20Rik	2	13	2	0	4	0	1	0	2	2	3	1
1700048P04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700049E15Rik	0	0	0	0	0	0	0	0	0	1	0	4
1700049E17Rik1	0	0	0	0	0	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0	3	0	0	0	0	0
1700049L16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0	0	0	0	1	0	0
1700051K13Rik	2	2	0	0	2	0	3	4	0	7	0	0
1700051O22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700052H01Rik	0	0	2	0	2	0	0	0	1	0	2	0
1700052I22Rik	0	1	0	0	0	0	0	0	0	2	1	0
1700052K11Rik	214	129	116	75	143	51	101	91	102	132	131	152
1700054A03Rik	1	0	2	0	1	4	6	3	0	4	1	1
1700054K02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0	0	0	0	0	0	0
